name,city,state,cert,id_number,end_date,
PEOPLES BANK,BLACKSHEAR,GA,16498,439,2007-06-30 00:00:00
PULASKI BANK AND TRUST COMPANY,LITTLE ROCK,AR,17562,1146,2007-03-31 00:00:00
FIRST STATE BANK  KIOWA  KANSAS  THE,KIOWA,KS,15328,1557,2017-12-31 00:00:00
SEA ISLAND BANK,STATESBORO,GA,5707,1632,2010-03-31 00:00:00
ALLEGHENY VALLEY BANK OF PITTSBURGH,PITTSBURGH,PA,6058,1829,2017-03-31 00:00:00
FARMERS & MERCHANTS BANK,TOMAH,WI,13046,2040,2019-06-30 00:00:00
ORITANI SAVINGS BANK,HACKENSACK,NJ,28866,2376,2019-09-30 00:00:00
BEVERLY STATE BANK,BEVERLY,KS,10506,2451,2010-06-30 00:00:00
STATE BANK OF MARIETTA,MARIETTA,MN,18525,2554,2019-03-31 00:00:00
SECURITY BANK AND TRUST COMPANY OF ALBANY,ALBANY,GA,20246,2938,2010-03-31 00:00:00
CITIZENS HOME BANK,GREENFIELD,MO,1949,2956,2005-09-30 00:00:00
INTERCHANGE BANK,SADDLE BROOK,NJ,20038,3506,2006-12-31 00:00:00
CLASSIC BANK CORPORATION,ASHLAND,KY,29884,3579,2005-03-31 00:00:00
FIRST CAPITAL BANK,GUTHRIE,OK,416,3953,2012-03-31 00:00:00
FIRST NATIONAL BANK OF LAFOLLETTE,LA FOLLETTE,TN,4944,4138,2010-12-31 00:00:00
BANK OF VERONA,VERONA,WI,15134,4147,2006-09-30 00:00:00
FIRST NATIONAL BANK,RONCEVERTE,WV,6795,4437,2015-12-31 00:00:00
WHAPLES AND FARMERS STATE BANK  THE,NEPONSET,IL,13661,4745,2004-06-30 00:00:00
AUSTIN BANK OF CHICAGO,CHICAGO,IL,11694,4839,2018-03-31 00:00:00
STONEHAM SAVINGS BANK,STONEHAM,MA,90286,5005,2013-09-30 00:00:00
COMMERCIAL STATE BANK OF BONNER SPRINGS,BONNER SPRINGS,KS,13732,5050,2006-03-31 00:00:00
NLSB,NEW LENOX,IL,10451,5247,2005-12-31 00:00:00
CLOVER LEAF BANK,EDWARDSVILLE,IL,30282,5274,2006-06-30 00:00:00
HYDE PARK BANK & TRUST COMPANY,CHICAGO,IL,10448,5331,2012-09-30 00:00:00
REPUBLIC BANK,SAINT PETERSBURG,FL,21350,5939,2004-03-31 00:00:00
FARMERS AND MERCHANTS BANK,HALE,MO,1651,6057,2007-12-31 00:00:00
TALLAHATCHIE COUNTY BANK,CHARLESTON,MS,16567,6141,2017-12-31 00:00:00
FIRST INDEPENDENT BANK,VANCOUVER,WA,1500,6972,2011-12-31 00:00:00
STATE BANK OF BLUE RAPIDS,BLUE RAPIDS,KS,15057,7157,2017-06-30 00:00:00
WESTERN SIERRA NATIONAL BANK,CAMERON PARK,CA,24903,7166,2006-03-31 00:00:00
PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,NEW ROADS,LA,23090,8033,2023-06-30 00:00:00
CITIZENS BANK OF PRINCETON,PRINCETON,MO,1628,8154,2002-12-31 00:00:00
BANK ONE TRUST COMPANY  NATIONAL ASSOCIATION,COLUMBUS,OH,21377,8417,2006-09-30 00:00:00
HERITAGE COMMUNITY BANK,COLUMBUS,IN,9088,8547,2004-12-31 00:00:00
COMMERCE BANK/SHORE NATIONAL ASSOCIATION,FORKED RIVER,NJ,21002,9115,2004-03-31 00:00:00
CENTRAL SIERRA BANK,SAN ANDREAS,CA,23579,9160,2003-06-30 00:00:00
FIRST NATIONAL BANK & TRUST CO. IN LARNED,LARNED,KS,4709,10157,2010-06-30 00:00:00
PLATTE VALLEY STATE BANK AND TRUST COMPANY,KEARNEY,NE,16112,10858,2013-12-31 00:00:00
BANK OF HOLDEN,HOLDEN,MO,8297,12058,2008-06-30 00:00:00
BANK NORTH,CRIVITZ,WI,15093,12245,2014-09-30 00:00:00
ELLSWORTH STATE BANK,ELLSWORTH,MN,10199,12357,2004-03-31 00:00:00
STATE BANK OF BURDEN,BURDEN,KS,14944,12656,2023-03-31 00:00:00
OAK BANK,CHICAGO,IL,20226,12937,2019-03-31 00:00:00
BANK OF NEBRASKA,LA VISTA,NE,21704,12955,2017-03-31 00:00:00
TRADERS BANK,SPENCER,WV,848,13037,2011-03-31 00:00:00
BSB BANK & TRUST COMPANY,BINGHAMTON,NY,15957,13309,2004-06-30 00:00:00
LINCOLN COUNTY BANK,MERRILL,WI,9042,14052,2018-09-30 00:00:00
JACKSON STATE BANK & TRUST  THE,JACKSON,WY,520,14258,2008-09-30 00:00:00
CITIZENS BANK OF MASSACHUSETTS,BOSTON,MA,18562,14409,2007-06-30 00:00:00
STEARNS BANK OF EVANSVILLE  NATIONAL ASSOCIATION,EVANSVILLE,MN,8186,14454,2010-12-31 00:00:00
FIRST WESTERN BANK,COOPER CITY,FL,26873,14931,2004-03-31 00:00:00
HARRIS BANK OAKBROOK TERRACE,OAKBROOK TERRACE,IL,20807,14940,2005-03-31 00:00:00
PULLMAN BANK AND TRUST COMPANY,CHICAGO,IL,11677,15536,2009-09-30 00:00:00
FIRST COLONY BANK,ALPHARETTA,GA,25847,15732,2003-03-31 00:00:00
WAKULLA BANK,CRAWFORDVILLE,FL,21777,16337,2010-09-30 00:00:00
BANK OF LARAMIE  NATIONAL ASSOCIATION,LARAMIE,WY,23277,16355,2003-03-31 00:00:00
DOUGLAS COUNTY BANK,LAWRENCE,KS,17105,16458,2014-12-31 00:00:00
ELBERFELD STATE BANK  THE,ELBERFELD,IN,13104,16748,2020-12-31 00:00:00
PENINSULA BANK OF COMMERCE,MILLBRAE,CA,23543,16766,2003-12-31 00:00:00
WEST MICHIGAN SAVINGS BANK  THE,BANGOR,MI,11404,16944,2015-03-31 00:00:00
FIRST STATE BANK OF FERTILE,FERTILE,MN,10186,16953,2015-09-30 00:00:00
BANK OF THE CASCADES,BEND,OR,22407,17464,2017-06-30 00:00:00
FIRST BANK OF OAK PARK,OAK PARK,IL,1801,17549,2005-12-31 00:00:00
SUMTER BANK AND TRUST COMPANY,AMERICUS,GA,21803,17839,2008-12-31 00:00:00
SOUTH CENTRAL BANK AND TRUST COMPANY OF CHICAGO,CHICAGO,IL,19536,18135,2019-12-31 00:00:00
BANK OF WALNUT CREEK,WALNUT CREEK,CA,23273,18368,2006-09-30 00:00:00
BALLY SAVINGS BANK,BALLY,PA,34440,18377,2017-03-31 00:00:00
BUSINESS BANK OF CALIFORNIA,SAN BERNARDINO,CA,25070,18863,2003-12-31 00:00:00
FIRST STATE BANK OF BURLINGAME  THE,BURLINGAME,KS,15794,18957,2012-06-30 00:00:00
STANDARD BANK AND TRUST COMPANY,HICKORY HILLS,IL,16606,19730,2016-12-31 00:00:00
FARMERS STATE BANK,NEW ROSS,IN,10484,20147,2009-03-31 00:00:00
FIRST NATIONAL BANK OF PINEDALE,PINEDALE,WY,18747,20259,2008-09-30 00:00:00
FIRST HERITAGE BANK,SNOHOMISH,WA,23626,20370,2011-03-31 00:00:00
FIRST NATIONAL BANK OF PORT ALLEGANY,PORT ALLEGANY,PA,7704,20512,2015-09-30 00:00:00
STATE BANK OF COLONY,COLONY,KS,12690,20754,2006-09-30 00:00:00
COLONY BANK SOUTHEAST,BROXTON,GA,19653,20839,2008-06-30 00:00:00
HOME VALLEY BANK,GRANTS PASS,OR,23181,20866,2010-06-30 00:00:00
TECHE BANK & TRUST COMPANY,SAINT MARTINVILLE,LA,20041,21630,2017-12-31 00:00:00
COLONY BANK ASHBURN,ASHBURN,GA,8023,22235,2008-06-30 00:00:00
FIRST NATIONAL BANK AND TRUST COMPANY,POWELL,WY,2226,22356,2012-03-31 00:00:00
FIRST NATIONAL BANK AND TRUST COMPANY OF LEAVENWORTH,LEAVENWORTH,KS,4712,22459,2011-03-31 00:00:00
FARMERS & MERCHANTS BANK,STATESBORO,GA,16673,22936,2019-03-31 00:00:00
FIRST NATIONAL BANK,HAWLEY,MN,5161,22954,2012-06-30 00:00:00
CB&T BANK OF MIDDLE GEORGIA,WARNER ROBINS,GA,25804,23036,2010-03-31 00:00:00
WEST MICHIGAN NATIONAL BANK & TRUST,FRANKFORT,MI,24471,23045,2016-06-30 00:00:00
INTEGRA BANK NATIONAL ASSOCIATION,EVANSVILLE,IN,4392,23241,2011-06-30 00:00:00
OSWEGO COMMUNITY BANK,OSWEGO,IL,17899,23540,2013-03-31 00:00:00
FIRST NATIONAL BANK OF CHESTER COUNTY,WEST CHESTER,PA,7802,23812,2010-09-30 00:00:00
MID-STATE BANK & TRUST,ARROYO GRANDE,CA,18396,24266,2007-03-31 00:00:00
AMERICAN NATIONAL BANK OF ROCK SPRINGS,ROCK SPRINGS,WY,24334,24453,2021-09-30 00:00:00
FIRST NATIONAL BANK OF QUITMAN  THE,QUITMAN,TX,3402,24668,2022-09-30 00:00:00
FIRST NATIONAL BANK OF NASH  THE,NASH,OK,4155,24855,2015-12-31 00:00:00
S&C BANK,NEW RICHMOND,WI,14800,25852,2007-12-31 00:00:00
PALMER STATE BANK,TAYLORVILLE,IL,12103,26149,2011-06-30 00:00:00
FIRST NATIONAL BANK,CHICAGO HEIGHTS,IL,3634,26233,2006-12-31 00:00:00
FIRST NATIONAL BANK AND TRUST COMPANY OF MOUNTAIN HOME,MOUNTAIN HOME,AR,18979,26242,2019-03-31 00:00:00
LA MONTE COMMUNITY BANK,LA MONTE,MO,16423,26457,2022-12-31 00:00:00
JASPER STATE BANK,JASPER,MN,10563,26756,2005-12-31 00:00:00
OMNIBANK NATIONAL ASSOCIATION,HOUSTON,TX,17325,26859,2013-12-31 00:00:00
DELAWARE NATIONAL BANK,GEORGETOWN,DE,22837,26916,2010-09-30 00:00:00
BLACKHAWK STATE BANK,BELOIT,WI,14078,27548,2023-09-30 00:00:00
HERITAGE BANK,CHICAGO HEIGHTS,IL,17917,27838,2007-12-31 00:00:00
FIRST NATIONAL BANK OF BEEVILLE  THE,BEEVILLE,TX,3095,28255,2019-03-31 00:00:00
ALLIED BANK,MULBERRY,AR,91,28349,2016-06-30 00:00:00
HYDE PARK SAVINGS BANK,BOSTON,MA,90160,28406,2019-03-31 00:00:00
COLUMBIA SAVINGS BANK  THE,CINCINNATI,OH,32284,28572,2014-03-31 00:00:00
UNION CENTER NATIONAL BANK,UNION,NJ,6431,29104,2014-06-30 00:00:00
UNION STATE BANK,UPTON,WY,522,29159,2006-09-30 00:00:00
MIDAMERICAN BANK AND TRUST COMPANY  NATIONAL ASSOCIATION,LEAVENWORTH,KS,4713,29252,2009-09-30 00:00:00
FIRST TEXAS BANK,BELTON,TX,3100,29850,2009-06-30 00:00:00
PINE STATE BANK,KINGSLAND,AR,5627,29944,2009-03-31 00:00:00
HOME STATE BANK,LOUISVILLE,NE,10650,29953,2014-12-31 00:00:00
FIRST NATIONAL BANK OF ST. MARY'S AT LEONARDTOWN  THE,LEONARDTOWN,MD,4853,30025,2004-06-30 00:00:00
CITIZENS NATIONAL BANK OF NASHVILLE,NASHVILLE,AR,21746,30146,2004-12-31 00:00:00
SHERMAN COUNTY BANK,LOUP CITY,NE,5431,30155,2008-12-31 00:00:00
RIVERBANK  THE,OSCEOLA,WI,15275,30258,2011-09-30 00:00:00
COLLEGE SAVINGS BANK,PRINCETON,NJ,27041,30418,2015-09-30 00:00:00
NBANC,OKLAHOMA CITY,OK,24093,30856,2008-06-30 00:00:00
STATE BANK OF LORETTO,LORETTO,MN,8215,31152,2004-06-30 00:00:00
TRUST COMPANY OF NEW JERSEY  THE,JERSEY CITY,NJ,12525,31303,2004-03-31 00:00:00
CITIZENS NATIONAL BANK,BENBROOK,TX,26541,32159,2007-12-31 00:00:00
ROSCOE STATE BANK  THE,ROSCOE,TX,1213,33268,2022-09-30 00:00:00
BLACK EARTH STATE BANK,BLACK EARTH,WI,12787,33549,2010-03-31 00:00:00
MARYLAND BANK & TRUST COMPANY  NATIONAL ASSOCIATION,LEXINGTON PARK,MD,18115,33727,2011-03-31 00:00:00
FARMERS STATE BANK,BERTRAM,TX,10712,33754,2013-06-30 00:00:00
PLACER SIERRA BANK,AUBURN,CA,30307,33772,2007-06-30 00:00:00
AMERICAN BANK OF SAINT PAUL,SAINT PAUL,MN,20843,34153,2015-03-31 00:00:00
FIRST NATIONAL BANK OF MARQUETTE,MARQUETTE,NE,5436,34359,2014-03-31 00:00:00
BANK OF LANCASTER,KILMARNOCK,VA,11200,34425,2020-12-31 00:00:00
FIRST NATIONAL BANK OF PARK FALLS  THE,PARK FALLS,WI,5358,34452,2019-03-31 00:00:00
WOODBURY BANKING COMPANY  THE,WOODBURY,GA,11297,34836,2016-06-30 00:00:00
FIRST BANK  ROXTON  TEXAS  THE,ROXTON,TX,5503,34863,2009-06-30 00:00:00
COMMUNITY BANK,CABOT,AR,1749,35244,2008-12-31 00:00:00
INVESTORS SAVINGS BANK,MILLBURN,NJ,28892,35570,2022-03-31 00:00:00
PREMIER BANK OF JACKSONVILLE,JACKSONVILLE,IL,10868,35842,2015-12-31 00:00:00
FIRST STATE BANK  THE,BISHOP,TX,10333,35851,2002-12-31 00:00:00
STATE BANK OF COLUSA,COLUSA,IL,9634,35936,2008-09-30 00:00:00
AMERICREST BANK,OKLAHOMA CITY,OK,18957,36054,2013-03-31 00:00:00
PONTIAC NATIONAL BANK,PONTIAC,IL,14736,36344,2011-09-30 00:00:00
FIRST STATE BANK,MAYNARDVILLE,TN,21437,36830,2003-06-30 00:00:00
PREMIER BANK,LENEXA,KS,22924,36858,2012-03-31 00:00:00
STATE BANK OF LEBO  THE,LEBO,KS,15288,37350,2009-06-30 00:00:00
